Store Name,amenity,leisure,shop,count
CASEY'S GENERAL STORE #2392 / JOHNSTON,bar,None,None,1
CASEY'S GENERAL STORE #2392 / JOHNSTON,pub,None,None,2
CASEY'S GENERAL STORE #2392 / JOHNSTON,restaurant,None,None,7
CASEY'S GENERAL STORE #2406 / PLEASANT HILL,None,None,supermarket,1
CASEY'S GENERAL STORE #2406 / PLEASANT HILL,cafe,None,None,1
CASEY'S GENERAL STORE #2520 / GRIMES,None,None,supermarket,2
CASEY'S GENERAL STORE #2520 / GRIMES,restaurant,None,None,5
CASEY'S GENERAL STORE #2635 / JOHNSTON,cafe,None,None,1
CASEY'S GENERAL STORE #2635 / JOHNSTON,None,stadium,None,1
CASEY'S GENERAL STORE #2635 / JOHNSTON,bar,None,None,2
CASEY'S GENERAL STORE #2689 / ANKENY,None,stadium,None,12
CASEY'S GENERAL STORE #2689 / ANKENY,restaurant,None,None,4
CASEY'S GENERAL STORE #2785 / ANKENY,None,stadium,None,1
CASEY'S GENERAL STORE #2785 / ANKENY,bar,None,None,3
CASEY'S GENERAL STORE #2785 / ANKENY,pub,None,None,2
CASEY'S GENERAL STORE #2785 / ANKENY,restaurant,None,None,5
CASEY'S GENERAL STORE #2896 / ANKENY,cafe,None,None,3
CASEY'S GENERAL STORE #2896 / ANKENY,None,None,supermarket,1
CASEY'S GENERAL STORE #2896 / ANKENY,restaurant,None,None,13
CASEY'S GENERAL STORE #2916 / ALTOONA,restaurant,None,None,15
CASEY'S GENERAL STORE #2916 / ALTOONA,pub,None,None,2
CASEY'S GENERAL STORE #2916 / ALTOONA,None,None,supermarket,1
CASEY'S GENERAL STORE #2916 / ALTOONA,bar,None,None,1
CASEY'S GENERAL STORE #2916 / ALTOONA,cafe,None,None,1
CASEY'S GENERAL STORE #2920 / ANKENY,cafe,None,None,4
CASEY'S GENERAL STORE #2920 / ANKENY,None,None,supermarket,1
CASEY'S GENERAL STORE #2920 / ANKENY,restaurant,None,None,15
CASEY'S GENERAL STORE #2923 / WDM,restaurant,None,None,16
CASEY'S GENERAL STORE #2923 / WDM,restaurant,amusement_arcade,None,1
CASEY'S GENERAL STORE #2923 / WDM,pub,None,None,4
CASEY'S GENERAL STORE #2923 / WDM,cafe,None,None,6
CASEY'S GENERAL STORE #2923 / WDM,bar,None,None,4
CASEY'S GENERAL STORE #2923 / WDM,None,None,supermarket,1
CASEY'S GENERAL STORE #3075 / ANKENY,pub,None,None,1
CASEY'S GENERAL STORE #3075 / ANKENY,restaurant,None,None,1
CASEY'S GENERAL STORE #3098 / WDM,None,None,supermarket,1
CASEY'S GENERAL STORE #3098 / WDM,bar,None,None,4
CASEY'S GENERAL STORE #3098 / WDM,cafe,None,None,2
CASEY'S GENERAL STORE #3098 / WDM,pub,None,None,3
CASEY'S GENERAL STORE #3098 / WDM,restaurant,None,None,12
CASEY'S GENERAL STORE #3210 / URBAND,pub,None,None,1
CASEY'S GENERAL STORE #3210 / URBANDALE,pub,None,None,1
CASEY'S GENERAL STORE #3244 / URBAND,restaurant,None,None,6
CASEY'S GENERAL STORE #3244 / URBANDALE,restaurant,None,None,6
CASEY'S GENERAL STORE #3333 / PLEASANT HILL,None,None,supermarket,1
CASEY'S GENERAL STORE #3606,bar,None,None,2
CASEY'S GENERAL STORE #3606,cafe,None,None,1
CASEY'S GENERAL STORE #3606,restaurant,None,None,2
CASEY'S GENERAL STORE #3718 / PLEASANT HILL,None,stadium,None,1
CASEY'S GENERAL STORE #3888 / ANKENY,pub,None,None,1
CASEY'S GENERAL STORE #3888 / ANKENY,restaurant,None,None,5
CASEY'S GENERAL STORE #3932 / URBANDALE,cafe,None,None,1
CASEY'S GENERAL STORE #4 / DES MOINES,restaurant,None,None,1
CASEY'S GENERAL STORE #6 / ALTOONA,restaurant,None,None,1
CASEY'S GENERAL STORE #6 / ALTOONA,None,None,supermarket,2
CASH SAVER  /  E EUCLID AVE,None,None,supermarket,4
CASH SAVER  /  E EUCLID AVE,restaurant,None,None,7
CASH SAVER  /  FLEUR,None,None,supermarket,3
CASH SAVER  /  FLEUR,cafe,None,None,2
CASH SAVER  /  FLEUR,pub,None,None,1
CASH SAVER  /  FLEUR,restaurant,None,None,6
CASH SAVER #33 / DES MOINES,None,None,supermarket,4
CASH SAVER #33 / DES MOINES,restaurant,None,None,7
CASH SAVER #34 / DES MOINES,restaurant,None,None,6
CASH SAVER #34 / DES MOINES,pub,None,None,1
CASH SAVER #34 / DES MOINES,None,None,supermarket,3
CASH SAVER #34 / DES MOINES,cafe,None,None,2
CENTRAL CITY 2,None,None,supermarket,1
CENTRAL CITY 2,restaurant,None,None,4
CENTRAL CITY 2,restaurant,None,coffee,1
"CENTRAL CITY LIQUOR, INC.",None,None,supermarket,1
"CENTRAL CITY LIQUOR, INC.",restaurant,None,None,4
"CENTRAL CITY LIQUOR, INC.",restaurant,None,coffee,1
CHAMLING SMOKE & LIQUOR / ANKENY,pub,None,None,4
